stream,packet_length,timestamp,source_ip,destination_ip,time_difference,direction
0,52,2026-02-13 11:18:22.915829,192.168.56.102,192.168.56.103,0.0,client to server
0,52,2026-02-13 11:18:22.918546,192.168.56.103,192.168.56.102,0.002717,server to client
0,0,2026-02-13 11:18:22.920662,192.168.56.102,192.168.56.103,0.002116,client to server
0,36,2026-02-13 11:18:22.933941,192.168.56.102,192.168.56.103,0.013279,client to server
0,36,2026-02-13 11:18:22.934676,192.168.56.103,192.168.56.102,0.000735,server to client
0,36,2026-02-13 11:18:22.956324,192.168.56.102,192.168.56.103,0.021648,client to server
0,36,2026-02-13 11:18:22.956683,192.168.56.103,192.168.56.102,0.000359,server to client
0,36,2026-02-13 11:18:22.977364,192.168.56.102,192.168.56.103,0.020681,client to server
0,36,2026-02-13 11:18:22.977734,192.168.56.103,192.168.56.102,0.00037,server to client
0,36,2026-02-13 11:18:22.999576,192.168.56.102,192.168.56.103,0.021842,client to server
0,36,2026-02-13 11:18:22.999937,192.168.56.103,192.168.56.102,0.000361,server to client
0,36,2026-02-13 11:18:23.021632,192.168.56.102,192.168.56.103,0.021695,client to server
0,36,2026-02-13 11:18:23.022127,192.168.56.103,192.168.56.102,0.000495,server to client
0,36,2026-02-13 11:18:23.048552,192.168.56.102,192.168.56.103,0.026425,client to server
0,36,2026-02-13 11:18:23.049034,192.168.56.103,192.168.56.102,0.000482,server to client
0,36,2026-02-13 11:18:23.072895,192.168.56.102,192.168.56.103,0.023861,client to server
0,36,2026-02-13 11:18:23.073282,192.168.56.103,192.168.56.102,0.000387,server to client
0,36,2026-02-13 11:18:23.094490,192.168.56.102,192.168.56.103,0.021208,client to server
0,36,2026-02-13 11:18:23.094831,192.168.56.103,192.168.56.102,0.000341,server to client
0,36,2026-02-13 11:18:23.116569,192.168.56.102,192.168.56.103,0.021738,client to server
0,36,2026-02-13 11:18:23.117473,192.168.56.103,192.168.56.102,0.000904,server to client
0,36,2026-02-13 11:18:23.137711,192.168.56.102,192.168.56.103,0.020238,client to server
0,36,2026-02-13 11:18:23.138136,192.168.56.103,192.168.56.102,0.000425,server to client
0,36,2026-02-13 11:18:23.166339,192.168.56.102,192.168.56.103,0.028203,client to server
0,36,2026-02-13 11:18:23.166702,192.168.56.103,192.168.56.102,0.000363,server to client
0,36,2026-02-13 11:18:23.194054,192.168.56.102,192.168.56.103,0.027352,client to server
0,36,2026-02-13 11:18:23.194513,192.168.56.103,192.168.56.102,0.000459,server to client
0,36,2026-02-13 11:18:23.214963,192.168.56.102,192.168.56.103,0.02045,client to server
0,36,2026-02-13 11:18:23.215299,192.168.56.103,192.168.56.102,0.000336,server to client
0,36,2026-02-13 11:18:23.236417,192.168.56.102,192.168.56.103,0.021118,client to server
0,36,2026-02-13 11:18:23.236962,192.168.56.103,192.168.56.102,0.000545,server to client
0,36,2026-02-13 11:18:23.256958,192.168.56.102,192.168.56.103,0.019996,client to server
0,36,2026-02-13 11:18:23.257297,192.168.56.103,192.168.56.102,0.000339,server to client
0,36,2026-02-13 11:18:23.277579,192.168.56.102,192.168.56.103,0.020282,client to server
0,36,2026-02-13 11:18:23.277921,192.168.56.103,192.168.56.102,0.000342,server to client
0,36,2026-02-13 11:18:23.300600,192.168.56.102,192.168.56.103,0.022679,client to server
0,36,2026-02-13 11:18:23.300904,192.168.56.103,192.168.56.102,0.000304,server to client
0,36,2026-02-13 11:18:23.323717,192.168.56.102,192.168.56.103,0.022813,client to server
0,36,2026-02-13 11:18:23.324076,192.168.56.103,192.168.56.102,0.000359,server to client
0,36,2026-02-13 11:18:23.345804,192.168.56.102,192.168.56.103,0.021728,client to server
0,36,2026-02-13 11:18:23.346151,192.168.56.103,192.168.56.102,0.000347,server to client
0,36,2026-02-13 11:18:23.367500,192.168.56.102,192.168.56.103,0.021349,client to server
0,36,2026-02-13 11:18:23.367878,192.168.56.103,192.168.56.102,0.000378,server to client
0,36,2026-02-13 11:18:23.389782,192.168.56.102,192.168.56.103,0.021904,client to server
0,36,2026-02-13 11:18:23.390179,192.168.56.103,192.168.56.102,0.000397,server to client
0,36,2026-02-13 11:18:23.411660,192.168.56.102,192.168.56.103,0.021481,client to server
0,36,2026-02-13 11:18:23.412283,192.168.56.103,192.168.56.102,0.000623,server to client
0,36,2026-02-13 11:18:23.434033,192.168.56.102,192.168.56.103,0.02175,client to server
0,36,2026-02-13 11:18:23.434520,192.168.56.103,192.168.56.102,0.000487,server to client
0,36,2026-02-13 11:18:23.456024,192.168.56.102,192.168.56.103,0.021504,client to server
0,36,2026-02-13 11:18:23.456258,192.168.56.103,192.168.56.102,0.000234,server to client
0,36,2026-02-13 11:18:23.481076,192.168.56.102,192.168.56.103,0.024818,client to server
0,36,2026-02-13 11:18:23.481659,192.168.56.103,192.168.56.102,0.000583,server to client
0,36,2026-02-13 11:18:23.503052,192.168.56.102,192.168.56.103,0.021393,client to server
0,36,2026-02-13 11:18:23.503426,192.168.56.103,192.168.56.102,0.000374,server to client
0,36,2026-02-13 11:18:23.524429,192.168.56.102,192.168.56.103,0.021003,client to server
0,36,2026-02-13 11:18:23.524865,192.168.56.103,192.168.56.102,0.000436,server to client
0,36,2026-02-13 11:18:23.545341,192.168.56.102,192.168.56.103,0.020476,client to server
0,36,2026-02-13 11:18:23.545682,192.168.56.103,192.168.56.102,0.000341,server to client
0,36,2026-02-13 11:18:23.566499,192.168.56.102,192.168.56.103,0.020817,client to server
0,36,2026-02-13 11:18:23.566838,192.168.56.103,192.168.56.102,0.000339,server to client
0,36,2026-02-13 11:18:23.588584,192.168.56.102,192.168.56.103,0.021746,client to server
0,36,2026-02-13 11:18:23.589072,192.168.56.103,192.168.56.102,0.000488,server to client
0,36,2026-02-13 11:18:23.609609,192.168.56.102,192.168.56.103,0.020537,client to server
0,36,2026-02-13 11:18:23.610039,192.168.56.103,192.168.56.102,0.00043,server to client
0,36,2026-02-13 11:18:23.632405,192.168.56.102,192.168.56.103,0.022366,client to server
0,36,2026-02-13 11:18:23.632959,192.168.56.103,192.168.56.102,0.000554,server to client
0,36,2026-02-13 11:18:23.653499,192.168.56.102,192.168.56.103,0.02054,client to server
0,36,2026-02-13 11:18:23.653990,192.168.56.103,192.168.56.102,0.000491,server to client
0,36,2026-02-13 11:18:23.675012,192.168.56.102,192.168.56.103,0.021022,client to server
0,36,2026-02-13 11:18:23.675556,192.168.56.103,192.168.56.102,0.000544,server to client
0,36,2026-02-13 11:18:23.697072,192.168.56.102,192.168.56.103,0.021516,client to server
0,36,2026-02-13 11:18:23.697795,192.168.56.103,192.168.56.102,0.000723,server to client
0,36,2026-02-13 11:18:23.717861,192.168.56.102,192.168.56.103,0.020066,client to server
0,36,2026-02-13 11:18:23.718353,192.168.56.103,192.168.56.102,0.000492,server to client
0,36,2026-02-13 11:18:23.740713,192.168.56.102,192.168.56.103,0.02236,client to server
0,36,2026-02-13 11:18:23.741237,192.168.56.103,192.168.56.102,0.000524,server to client
0,36,2026-02-13 11:18:23.762337,192.168.56.102,192.168.56.103,0.0211,client to server
0,36,2026-02-13 11:18:23.762861,192.168.56.103,192.168.56.102,0.000524,server to client
0,36,2026-02-13 11:18:23.785374,192.168.56.102,192.168.56.103,0.022513,client to server
0,36,2026-02-13 11:18:23.785880,192.168.56.103,192.168.56.102,0.000506,server to client
0,36,2026-02-13 11:18:23.808321,192.168.56.102,192.168.56.103,0.022441,client to server
0,36,2026-02-13 11:18:23.808790,192.168.56.103,192.168.56.102,0.000469,server to client
0,36,2026-02-13 11:18:23.829564,192.168.56.102,192.168.56.103,0.020774,client to server
0,36,2026-02-13 11:18:23.829857,192.168.56.103,192.168.56.102,0.000293,server to client
0,36,2026-02-13 11:18:23.850050,192.168.56.102,192.168.56.103,0.020193,client to server
0,52,2026-02-13 11:18:23.852806,192.168.56.103,192.168.56.102,0.002756,server to client
0,52,2026-02-13 11:18:23.853891,192.168.56.103,192.168.56.102,0.001085,server to client
0,0,2026-02-13 11:18:23.856138,192.168.56.102,192.168.56.103,0.002247,client to server
0,44,2026-02-13 11:18:23.861648,192.168.56.103,192.168.56.102,0.00551,server to client
0,36,2026-02-13 11:18:23.862852,192.168.56.103,192.168.56.102,0.001204,server to client
0,108,2026-02-13 11:18:23.864155,192.168.56.103,192.168.56.102,0.001303,server to client
0,0,2026-02-13 11:18:23.867337,192.168.56.102,192.168.56.103,0.003182,client to server
0,36,2026-02-13 11:18:23.871406,192.168.56.102,192.168.56.103,0.004069,client to server
0,36,2026-02-13 11:18:23.871797,192.168.56.103,192.168.56.102,0.000391,server to client
0,36,2026-02-13 11:18:23.892010,192.168.56.102,192.168.56.103,0.020213,client to server
0,36,2026-02-13 11:18:23.892777,192.168.56.103,192.168.56.102,0.000767,server to client
0,36,2026-02-13 11:18:23.918242,192.168.56.102,192.168.56.103,0.025465,client to server
0,36,2026-02-13 11:18:23.918908,192.168.56.103,192.168.56.102,0.000666,server to client
0,36,2026-02-13 11:18:23.939908,192.168.56.102,192.168.56.103,0.021,client to server
0,36,2026-02-13 11:18:23.940340,192.168.56.103,192.168.56.102,0.000432,server to client
0,36,2026-02-13 11:18:23.959872,192.168.56.102,192.168.56.103,0.019532,client to server
0,36,2026-02-13 11:18:23.960319,192.168.56.103,192.168.56.102,0.000447,server to client
0,36,2026-02-13 11:18:23.980189,192.168.56.102,192.168.56.103,0.01987,client to server
0,36,2026-02-13 11:18:23.980592,192.168.56.103,192.168.56.102,0.000403,server to client
0,36,2026-02-13 11:18:24.001531,192.168.56.102,192.168.56.103,0.020939,client to server
0,36,2026-02-13 11:18:24.001878,192.168.56.103,192.168.56.102,0.000347,server to client
0,36,2026-02-13 11:18:24.024764,192.168.56.102,192.168.56.103,0.022886,client to server
0,36,2026-02-13 11:18:24.025158,192.168.56.103,192.168.56.102,0.000394,server to client
0,36,2026-02-13 11:18:24.047017,192.168.56.102,192.168.56.103,0.021859,client to server
0,36,2026-02-13 11:18:24.047655,192.168.56.103,192.168.56.102,0.000638,server to client
0,36,2026-02-13 11:18:24.070323,192.168.56.102,192.168.56.103,0.022668,client to server
0,36,2026-02-13 11:18:24.070628,192.168.56.103,192.168.56.102,0.000305,server to client
0,36,2026-02-13 11:18:24.090633,192.168.56.102,192.168.56.103,0.020005,client to server
0,36,2026-02-13 11:18:24.090924,192.168.56.103,192.168.56.102,0.000291,server to client
0,36,2026-02-13 11:18:24.117506,192.168.56.102,192.168.56.103,0.026582,client to server
0,36,2026-02-13 11:18:24.117810,192.168.56.103,192.168.56.102,0.000304,server to client
0,36,2026-02-13 11:18:24.140915,192.168.56.102,192.168.56.103,0.023105,client to server
0,36,2026-02-13 11:18:24.141746,192.168.56.103,192.168.56.102,0.000831,server to client
0,36,2026-02-13 11:18:24.161581,192.168.56.102,192.168.56.103,0.019835,client to server
0,36,2026-02-13 11:18:24.162083,192.168.56.103,192.168.56.102,0.000502,server to client
0,36,2026-02-13 11:18:24.181822,192.168.56.102,192.168.56.103,0.019739,client to server
0,36,2026-02-13 11:18:24.182222,192.168.56.103,192.168.56.102,0.0004,server to client
0,36,2026-02-13 11:18:24.205565,192.168.56.102,192.168.56.103,0.023343,client to server
0,36,2026-02-13 11:18:24.205978,192.168.56.103,192.168.56.102,0.000413,server to client
0,36,2026-02-13 11:18:24.226714,192.168.56.102,192.168.56.103,0.020736,client to server
0,36,2026-02-13 11:18:24.227124,192.168.56.103,192.168.56.102,0.00041,server to client
0,36,2026-02-13 11:18:24.247200,192.168.56.102,192.168.56.103,0.020076,client to server
0,36,2026-02-13 11:18:24.247659,192.168.56.103,192.168.56.102,0.000459,server to client
0,36,2026-02-13 11:18:24.269124,192.168.56.102,192.168.56.103,0.021465,client to server
0,36,2026-02-13 11:18:24.269822,192.168.56.103,192.168.56.102,0.000698,server to client
0,36,2026-02-13 11:18:24.291540,192.168.56.102,192.168.56.103,0.021718,client to server
0,36,2026-02-13 11:18:24.291959,192.168.56.103,192.168.56.102,0.000419,server to client
0,36,2026-02-13 11:18:24.312981,192.168.56.102,192.168.56.103,0.021022,client to server
0,36,2026-02-13 11:18:24.313552,192.168.56.103,192.168.56.102,0.000571,server to client
0,36,2026-02-13 11:18:24.333781,192.168.56.102,192.168.56.103,0.020229,client to server
0,36,2026-02-13 11:18:24.334264,192.168.56.103,192.168.56.102,0.000483,server to client
0,36,2026-02-13 11:18:24.355680,192.168.56.102,192.168.56.103,0.021416,client to server
0,36,2026-02-13 11:18:24.356094,192.168.56.103,192.168.56.102,0.000414,server to client
0,36,2026-02-13 11:18:24.377038,192.168.56.102,192.168.56.103,0.020944,client to server
0,36,2026-02-13 11:18:24.377583,192.168.56.103,192.168.56.102,0.000545,server to client
0,36,2026-02-13 11:18:24.400034,192.168.56.102,192.168.56.103,0.022451,client to server
0,36,2026-02-13 11:18:24.400560,192.168.56.103,192.168.56.102,0.000526,server to client
0,36,2026-02-13 11:18:24.421232,192.168.56.102,192.168.56.103,0.020672,client to server
0,36,2026-02-13 11:18:24.421963,192.168.56.103,192.168.56.102,0.000731,server to client
0,36,2026-02-13 11:18:24.442947,192.168.56.102,192.168.56.103,0.020984,client to server
0,36,2026-02-13 11:18:24.443717,192.168.56.103,192.168.56.102,0.00077,server to client
0,36,2026-02-13 11:18:24.469654,192.168.56.102,192.168.56.103,0.025937,client to server
0,36,2026-02-13 11:18:24.476356,192.168.56.103,192.168.56.102,0.006702,server to client
0,36,2026-02-13 11:18:24.486650,192.168.56.102,192.168.56.103,0.010294,client to server
0,36,2026-02-13 11:18:24.487012,192.168.56.103,192.168.56.102,0.000362,server to client
0,36,2026-02-13 11:18:24.510735,192.168.56.102,192.168.56.103,0.023723,client to server
0,36,2026-02-13 11:18:24.511064,192.168.56.103,192.168.56.102,0.000329,server to client
0,36,2026-02-13 11:18:24.534867,192.168.56.102,192.168.56.103,0.023803,client to server
0,36,2026-02-13 11:18:24.540362,192.168.56.103,192.168.56.102,0.005495,server to client
0,36,2026-02-13 11:18:24.555139,192.168.56.102,192.168.56.103,0.014777,client to server
0,36,2026-02-13 11:18:24.557293,192.168.56.103,192.168.56.102,0.002154,server to client
0,36,2026-02-13 11:18:24.576085,192.168.56.102,192.168.56.103,0.018792,client to server
0,36,2026-02-13 11:18:24.577177,192.168.56.103,192.168.56.102,0.001092,server to client
0,36,2026-02-13 11:18:24.601959,192.168.56.102,192.168.56.103,0.024782,client to server
0,36,2026-02-13 11:18:24.602767,192.168.56.103,192.168.56.102,0.000808,server to client
0,36,2026-02-13 11:18:24.620862,192.168.56.102,192.168.56.103,0.018095,client to server
0,36,2026-02-13 11:18:24.622050,192.168.56.103,192.168.56.102,0.001188,server to client
0,36,2026-02-13 11:18:24.644649,192.168.56.102,192.168.56.103,0.022599,client to server
0,36,2026-02-13 11:18:24.645444,192.168.56.103,192.168.56.102,0.000795,server to client
0,36,2026-02-13 11:18:24.666589,192.168.56.102,192.168.56.103,0.021145,client to server
0,36,2026-02-13 11:18:24.667917,192.168.56.103,192.168.56.102,0.001328,server to client
0,36,2026-02-13 11:18:24.689605,192.168.56.102,192.168.56.103,0.021688,client to server
0,36,2026-02-13 11:18:24.690097,192.168.56.103,192.168.56.102,0.000492,server to client
0,36,2026-02-13 11:18:24.711599,192.168.56.102,192.168.56.103,0.021502,client to server
0,36,2026-02-13 11:18:24.712705,192.168.56.103,192.168.56.102,0.001106,server to client
0,36,2026-02-13 11:18:24.732306,192.168.56.102,192.168.56.103,0.019601,client to server
0,36,2026-02-13 11:18:24.732905,192.168.56.103,192.168.56.102,0.000599,server to client
