packet_length,timestamp,source_ip,destination_ip,time_difference,direction
102,2026-02-12 18:27:11.372222,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.374612,192.168.56.103,192.168.56.102,0,client to server
66,2026-02-12 18:27:11.376807,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.402776,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.403474,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.422397,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.422795,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.442369,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.442830,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.464625,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.465411,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.492868,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.496468,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.503080,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.504207,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.523556,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.524479,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.542805,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.543684,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.562858,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.563557,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.581945,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.582759,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.603012,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.603863,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.622595,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.623924,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.644628,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.645529,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.664352,192.168.56.102,192.168.56.103,0,server to client
102,2026-02-12 18:27:11.665430,192.168.56.103,192.168.56.102,0,client to server
102,2026-02-12 18:27:11.684942,192.168.56.102,192.168.56.103,0,server to client
